hours_week,hours_week_mapping,days_studied_week,days_studied_week_mapping,hours_at_time,hours_at_time_mapping,time_day_studied,time_day_studied_mapping,,,,,,,,,,,,,
4,15-20,3,4,1,<1,4,Midnight,,,,,,,,,,,,,
2,5-10,1,<2,1,<1,2,Afternoon,,,,,,,,,,,,,
2,5-10,1,<2,4,4,2,Afternoon,,,,,,,,,,,,,
3,10-15,1,<2,1,<1,4,Midnight,,,,,,,,,,,,,
2,5-10,4,5,3,3,3,Evening,,,,,,,,,,,,,
1,<5,4,5,1,<1,3,Evening,,,,,,,,,,,,,
3,10-15,3,4,3,3,2,Afternoon,,,,,,,,,,,,,
5,>20,1,<2,1,<1,2,Afternoon,,,,,,,,,,,,,
3,10-15,4,5,2,2,2,Afternoon,,,,,,,,,,,,,
4,15-20,2,3,1,<1,3,Evening,,,,,,,,,,,,,
1,<5,4,5,2,2,1,Morning,,,,,,,,,,,,,
1,<5,4,5,2,2,3,Evening,,,,,,,,,,,,,
5,>20,1,<2,3,3,1,Morning,,,,,,,,,,,,,
4,15-20,2,3,4,4,1,Morning,,,,,,,,,,,,,
4,15-20,4,5,2,2,3,Evening,,,,,,,,,,,,,
1,<5,1,<2,3,3,2,Afternoon,,,,,,,,,,,,,
3,10-15,4,5,4,4,2,Afternoon,,,,,,,,,,,,,
3,10-15,1,<2,2,2,1,Morning,,,,,,,,,,,,,
5,>20,5,>5,2,2,4,Midnight,,,,,,,,,,,,,
1,<5,3,4,3,3,1,Morning,,,,,,,,,,,,,
4,15-20,3,4,3,3,4,Midnight,,,,,,,,,,,,,
1,<5,4,5,4,4,4,Midnight,,,,,,,,,,,,,
4,15-20,3,4,4,4,1,Morning,,,,,,,,,,,,,
4,15-20,3,4,3,3,3,Evening,,,,,,,,,,,,,
1,<5,1,<2,3,3,1,Morning,,,,,,,,,,,,,
1,<5,5,>5,4,4,4,Midnight,,,,,,,,,,,,,
1,<5,3,4,4,4,3,Evening,,,,,,,,,,,,,
4,15-20,5,>5,4,4,4,Midnight,,,,,,,,,,,,,
2,5-10,5,>5,3,3,4,Midnight,,,,,,,,,,,,,
3,10-15,1,<2,2,2,1,Morning,,,,,,,,,,,,,
4,15-20,2,3,1,<1,1,Morning,,,,,,,,,,,,,
2,5-10,1,<2,2,2,2,Afternoon,,,,,,,,,,,,,
5,>20,3,4,2,2,4,Midnight,,,,,,,,,,,,,
